sku,old_title,new_title,shopify_id
"LS-R","LEAVING RECORDS - Music for Saxofone and Bass Guitar - MIVS&BG CASSETTE (3RD EDITION) + STAMPED BAG","Lord Spikeheart - Zebra Long Sleeve. Black",""
"LL-RM-C","LEAVING RECORDS - Texture II - BLACK VINYL","Low Leaf - Red Moon LP",""
"DD-R-L12V","LEAVING RECORDS - A V - A V Cassette","ddust direct - Reishi LP",""
"LL-RM-TPV","LEAVING RECORDS - Texture II - BLUE CASSETTE","Low Leaf - Red Moon LP",""
"X-NNA-137","Bundle: Graphic Score + Digital Album","Sally Decker - Bundle: Graphic Score + Digital Album","gid://shopify/Product/10310473154875"
"NSR-NSRP","Northern Spy Records Potted Iris Tee","Northern Spy Records - Northern Spy Records Potted Iris Tee","gid://shopify/Product/10310467191099"
"RTAS-TEAT-ETV1","LEAVING RECORDS - Ground Groove - VINYL","Ras_G & The Afrikan Space Program - The El-Aylien Tapes LP",""
"PE-I-C","LEAVING RECORDS - Red Moon - VINYL (MAGENTA)","Paige Emery - Intercommunications Cassette",""
"LR-SRE-12V","LEAVING RECORDS - Trarat - ltd. cassette","LEAVING RECORDS - Sisters Remix EP LP",""
"SBNM-SM-2","LEAVING RECORDS - IT'S TRASH NOW - TEST PRESSING","Surya Botofasina, Nate Mercereau, Carlos Niño - Subtle Movements Cassette",""
"LR-MBOT","LEAVING RECORDS - Golden Days - ltd. Golden Days tape","LEAVING RECORDS - MIVS&BG OFFICIAL TEE",""
"SHIRT-WSR-FEST","WSR Fest 22 T-shirt","Whited Sepulchre Records - WSR Fest 22 T-shirt","gid://shopify/Product/10310477447483"
"SBNM-SM-2V","LEAVING RECORDS - Red Moon - VINYL (BLACK)","Surya Botofasina, Nate Mercereau, Carlos Niño - Subtle Movements Cassette",""
"JQT-WMAB","Westcoast Medieval Ambient Bumper Sticker","Jesse Q-T - Westcoast Medieval Ambient Bumper Sticker","gid://shopify/Product/10310477807931"
"NHA-POD-V","LEAVING RECORDS - 2nd Draft - TEST PRESSING","Nailah Hunter - The Pavilion Of Dreams LP",""
"FC-MSLL-1","Mommy's Little Lesbian Sticker","Frost Children - Mommy's Little Lesbian Sticker","gid://shopify/Product/10310476169531"
"Q-S-TP","LEAVING RECORDS - In Float - CASSETTE","Qoa - SAUCO LP",""
"SWCW-SWCW-CJI","LEAVING RECORDS - SAUCO - VINYL","Sam Wilkes, Craig Weinrib, and Dylan Day - Sam Wilkes, Craig Weinrib, and Dylan Day Cassette",""
"ER-MXAC","Mekong Xpress Album Cover T","Egghunt Records - Mekong Xpress Album Cover T","gid://shopify/Product/10310464700731"
"GB-E-TPV","LEAVING RECORDS - Sam Wilkes, Craig Weinrib, and Dylan Day - TEST PRESSING VINYL","Guy Blakeslee - EXTRAVISION LP",""
"SWCW-SWCW-V","LEAVING RECORDS - Subtle Movements - 2LP","Sam Wilkes, Craig Weinrib, and Dylan Day - Sam Wilkes, Craig Weinrib, and Dylan Day Cassette",""
"JJ-UO-T","Unusual Object T-shirt","Josh Johnson - Unusual Object T-shirt","gid://shopify/Product/10310468403515"
"LR-AGPT-1","LEAVING RECORDS - The Living World's Demands - CASSETTE","LEAVING RECORDS - ALL GENRE PORTAL TEE",""
